WOT-BUILTIN-DATA,1
usa-M36_Slagger,usa,6,destroyer,normal
usa-M37,usa,3,artillery,normal
usa-M4_Sherman,usa,5,medium,normal
usa-M40M43,usa,7,artillery,normal
usa-M41,usa,5,artillery,normal
usa-M46_Patton,usa,9,medium,normal
usa-M4A2E4,usa,5,medium,premium
usa-M4A3E8_Sherman,usa,6,medium,normal
usa-M5_Stuart,usa,4,light,normal
usa-M6,usa,6,heavy,normal
usa-M6A2E1,usa,8,heavy,premium
usa-M7_med,usa,5,medium,normal
usa-M7_Priest,usa,4,artillery,normal
usa-MTLS-1G14,usa,3,light,special
usa-Pershing,usa,8,medium,normal
usa-Ram-II,usa,5,medium,premium
usa-Sherman_Jumbo,usa,6,medium,normal
usa-T1_Cunningham,usa,1,light,normal
usa-T1_hvy,usa,5,heavy,normal
usa-T14,usa,5,heavy,premium
usa-T18,usa,2,destroyer,normal
usa-T2_lt,usa,2,light,premium
usa-T2_med,usa,2,medium,normal
usa-T20,usa,7,medium,normal
usa-T25_AT,usa,7,destroyer,normal
usa-T28,usa,8,destroyer,normal
usa-T29,usa,7,heavy,normal
usa-T30,usa,10,heavy,normal
usa-T32,usa,8,heavy,normal
usa-T34_hvy,usa,9,heavy,normal
usa-T40,usa,4,destroyer,normal
usa-T57,usa,2,artillery,normal
usa-T82,usa,3,destroyer,normal
usa-T92,usa,8,artillery,normal
usa-T95,usa,9,destroyer,normal
ussr-A-20,ussr,4,light,normal
ussr-A-32,ussr,5,medium,premium
ussr-AT-1,ussr,2,destroyer,normal
ussr-BT-2,ussr,2,light,normal
ussr-BT-7,ussr,3,light,normal
ussr-BT-SV,ussr,3,light,premium
ussr-Churchill_LL,ussr,5,heavy,premium
ussr-GAZ-74b,ussr,4,destroyer,normal
ussr-IS,ussr,7,heavy,normal
ussr-IS-3,ussr,8,heavy,normal
ussr-IS-4,ussr,9,heavy,normal
ussr-IS-7,ussr,10,heavy,normal
ussr-ISU-152,ussr,8,destroyer,normal
ussr-KV,ussr,5,heavy,normal
ussr-KV-13,ussr,7,medium,normal
ussr-KV-1s,ussr,6,heavy,normal
ussr-KV-220,ussr,5,heavy,premium
ussr-KV-220_action,ussr,5,heavy,special
ussr-KV-3,ussr,6,heavy,normal
ussr-KV-5,ussr,8,heavy,premium
ussr-M3_Stuart_LL,ussr,3,light,special
ussr-Matilda_II_LL,ussr,5,medium,premium
ussr-MS-1,ussr,1,light,normal
ussr-Object_212,ussr,7,artillery,normal
ussr-Object_261,ussr,8,artillery,normal
ussr-Object_704,ussr,9,destroyer,normal
ussr-S-51,ussr,6,artillery,normal
ussr-SU_85I,ussr,5,destroyer,premium
ussr-SU-100,ussr,6,destroyer,normal
ussr-SU-14,ussr,6,artillery,normal
ussr-SU-152,ussr,7,destroyer,normal
ussr-SU-18,ussr,2,artillery,normal
ussr-SU-26,ussr,3,artillery,normal
ussr-SU-5,ussr,4,artillery,normal
ussr-SU-76,ussr,3,destroyer,normal
ussr-SU-8,ussr,5,artillery,normal
ussr-SU-85,ussr,5,destroyer,normal
ussr-T_50_2,ussr,5,light,normal
ussr-T-127,ussr,3,light,premium
ussr-T-26,ussr,2,light,normal
ussr-T-28,ussr,4,medium,normal
ussr-T-34,ussr,5,medium,normal
ussr-T-34-85,ussr,6,medium,normal
ussr-T-43,ussr,7,medium,normal
ussr-T-44,ussr,8,medium,normal
ussr-T-46,ussr,3,light,normal
ussr-T-50,ussr,4,light,normal
ussr-T-54,ussr,9,medium,normal
ussr-Valentine_LL,ussr,4,light,premium
